ego_id,city
603919,santiago
604308,santiago
604772,concepcion
604773,santiago
606544,santiago
606691,santiago
607148,valparaiso
607426,santiago
607863,valparaiso
608256,santiago
608834,concepcion
608897,santiago
609567,santiago
609970,santiago
610791,santiago
611628,santiago
613101,santiago
613439,santiago
614808,santiago
615664,santiago
615712,santiago
615869,santiago
616605,santiago
617513,santiago
618013,concepcion
619008,santiago
620115,santiago
620404,concepcion
620459,santiago
620958,santiago
621450,valparaiso
621483,laserena
622578,santiago
622788,concepcion
623798,concepcion
625642,valparaiso
626995,santiago
627390,valparaiso
627767,santiago
627787,valparaiso
630359,valparaiso
631751,santiago
631967,valparaiso
632368,santiago
632393,santiago
632745,valparaiso
633681,santiago
634368,santiago
634369,santiago
634764,concepcion
636175,concepcion
636956,santiago
638890,valparaiso
639448,santiago
641208,santiago
641281,concepcion
641426,santiago
644930,santiago
646008,santiago
646034,concepcion
646211,santiago
646249,santiago
646250,concepcion
646597,santiago
647002,santiago
647649,santiago
647808,santiago
648789,santiago
649040,santiago
649772,valparaiso
649773,concepcion
650145,santiago
650618,santiago
651857,santiago
652199,concepcion
652277,valparaiso
653896,santiago
654066,santiago
655144,laserena
656045,concepcion
656374,santiago
656485,santiago
658074,valparaiso
658874,santiago
659660,concepcion
659775,valparaiso
659841,santiago
661612,valparaiso
661639,santiago
662151,santiago
662911,santiago
663824,santiago
664912,santiago
665340,santiago
665382,santiago
665650,santiago
666515,santiago
667409,santiago
668702,santiago
669120,santiago
669315,valparaiso
670620,santiago
670953,santiago
671440,santiago
671623,concepcion
671795,santiago
671859,santiago
672597,santiago
673949,santiago
674337,laserena
674657,santiago
676176,santiago
677606,valparaiso
678256,valparaiso
678346,santiago
678582,laserena
679040,concepcion
680657,santiago
682365,santiago
683484,santiago
684753,santiago
685106,concepcion
686052,concepcion
686304,santiago
686777,santiago
686904,concepcion
687271,concepcion
687353,santiago
690027,santiago
690113,santiago
691232,santiago
691354,santiago
691546,santiago
691805,santiago
692101,santiago
693020,santiago
693581,santiago
693636,valparaiso
693847,santiago
694864,laserena
695366,concepcion
695905,santiago
696218,santiago
696453,santiago
696652,santiago
699078,santiago
699853,concepcion
701060,santiago
701089,concepcion
701789,santiago
701895,santiago
702144,santiago
702243,valparaiso
702768,santiago
703656,santiago
703978,santiago
705334,santiago
705785,concepcion
706092,santiago
706691,concepcion
709014,valparaiso
709253,concepcion
709722,valparaiso
710875,valparaiso
711144,santiago
711562,santiago
712177,santiago
712938,santiago
713201,valparaiso
713639,santiago
714403,santiago
716276,concepcion
716492,concepcion
716571,concepcion
717285,santiago
718287,valparaiso
718699,santiago
720139,laserena
721053,concepcion
724175,santiago
724224,santiago
724976,santiago
725053,concepcion
725090,santiago
725556,santiago
725774,santiago
725996,valparaiso
726132,santiago
726959,santiago
727423,santiago
727552,valparaiso
728123,santiago
729087,santiago
729126,santiago
729412,concepcion
729744,santiago
730169,valparaiso
730231,santiago
730232,santiago
731077,valparaiso
731130,santiago
731625,santiago
731665,valparaiso
731829,santiago
732666,santiago
733199,laserena
733511,santiago
733644,santiago
734334,santiago
734355,santiago
734967,santiago
734979,santiago
735090,concepcion
735718,concepcion
738485,santiago
739658,santiago
739698,santiago
740026,concepcion
740146,valparaiso
740954,santiago
741359,concepcion
741819,santiago
742636,valparaiso
743013,laserena
743377,santiago
744277,laserena
745127,santiago
745404,santiago
745424,valparaiso
746896,santiago
747512,santiago
747708,santiago
747709,santiago
749938,santiago
750226,santiago
750227,santiago
751162,santiago
751386,concepcion
751699,santiago
751959,santiago
752207,santiago
753011,laserena
755370,valparaiso
755405,concepcion
755909,santiago
756256,santiago
756295,santiago
757436,santiago
758201,concepcion
759062,santiago
759495,laserena
760344,santiago
760464,santiago
761747,santiago
761996,santiago
763048,santiago
763545,santiago
763786,santiago
764733,santiago
764825,valparaiso
764885,concepcion
767045,santiago
767592,valparaiso
767593,santiago
768161,santiago
768475,santiago
769234,santiago
769614,valparaiso
769682,santiago
770165,santiago
770408,santiago
770552,santiago
770848,santiago
771296,valparaiso
771807,santiago
772837,santiago
773318,santiago
774120,santiago
774529,santiago
774785,concepcion
775578,santiago
775784,santiago
776522,valparaiso
776835,santiago
776854,santiago
777118,santiago
778214,santiago
779849,santiago
780533,santiago
781688,santiago
781968,santiago
782542,santiago
782611,santiago
783063,santiago
783331,concepcion
784952,santiago
785339,valparaiso
785527,santiago
785745,santiago
785785,santiago
785887,santiago
786580,santiago
787203,santiago
788007,concepcion
788205,santiago
789997,santiago
791117,valparaiso
791827,santiago
792328,santiago
793283,valparaiso
793960,laserena
794256,santiago
794549,santiago
794764,santiago
794968,santiago
795640,santiago
795991,santiago
796893,laserena
798051,santiago
798366,santiago
798367,santiago
798681,concepcion
798781,concepcion
799022,santiago
800463,concepcion
800842,santiago
800922,santiago
801244,santiago
801556,santiago
801631,santiago
801736,valparaiso
803175,santiago
803273,santiago
803730,santiago
805720,santiago
806058,santiago
806185,concepcion
806392,santiago
808249,laserena
808568,santiago
810449,concepcion
810672,santiago
811305,santiago
811315,santiago
812989,santiago
813618,santiago
813715,santiago
814465,santiago
814949,santiago
814950,concepcion
815087,santiago
815263,santiago
815366,concepcion
818201,concepcion
818389,concepcion
818683,santiago
818807,santiago
818813,laserena
819760,santiago
820323,santiago
820837,santiago
821022,santiago
821908,valparaiso
822798,santiago
823007,santiago
823305,santiago
825213,santiago
826353,santiago
827225,santiago
827226,concepcion
827647,santiago
827857,concepcion
828614,santiago
828653,valparaiso
829461,santiago
830237,santiago
831228,valparaiso
832247,santiago
832754,santiago
833122,concepcion
834553,santiago
834884,santiago
834885,santiago
836918,santiago
837750,santiago
837863,santiago
839695,valparaiso
839968,laserena
840238,santiago
840858,concepcion
840892,santiago
841021,concepcion
841285,concepcion
843433,concepcion
844546,santiago
845670,santiago
846291,santiago
847380,concepcion
847745,santiago
847760,valparaiso
848049,santiago
849272,santiago
850604,santiago
851679,santiago
852129,santiago
852413,santiago
853525,santiago
853806,santiago
854695,valparaiso
857424,concepcion
858028,santiago
858266,concepcion
858324,santiago
858970,santiago
859052,concepcion
859120,santiago
859407,santiago
861071,santiago
862355,santiago
862862,santiago
862863,laserena
863776,santiago
863914,santiago
864258,concepcion
864338,santiago
864690,santiago
865551,concepcion
866630,santiago
867158,santiago
867510,concepcion
868030,valparaiso
868807,santiago
869064,santiago
869421,santiago
870142,santiago
870656,santiago
871113,santiago
871525,santiago
871801,santiago
871802,valparaiso
872440,santiago
873962,santiago
874235,valparaiso
874833,santiago
876496,santiago
877091,santiago
877538,santiago
878394,santiago
878395,valparaiso
880383,valparaiso
881083,santiago
881295,concepcion
881802,santiago
882442,santiago
882443,santiago
883179,santiago
883221,valparaiso
883410,santiago
883990,santiago
884851,concepcion
884852,concepcion
885127,santiago
885169,santiago
885670,santiago
886930,concepcion
887225,valparaiso
887663,santiago
892478,concepcion
892701,santiago
892939,santiago
893277,santiago
893358,santiago
893783,santiago
895322,santiago
897321,santiago
897677,santiago
898290,santiago
898437,valparaiso
898438,santiago
898454,santiago
898994,santiago
899312,laserena
899524,santiago
899525,valparaiso
901404,concepcion
901719,valparaiso
901807,santiago
902624,santiago
905061,valparaiso
906094,laserena
907824,santiago
908069,concepcion
908225,santiago
908598,santiago
910158,laserena
910981,santiago
911100,santiago
911865,valparaiso
912559,santiago
912716,santiago
912734,santiago
914709,santiago
915249,santiago
915377,santiago
915724,santiago
916635,santiago
917778,valparaiso
918321,santiago
918928,concepcion
919835,santiago
921748,valparaiso
922064,santiago
923779,santiago
923796,valparaiso
923975,santiago
924309,santiago
925102,santiago
925934,concepcion
926728,santiago
927600,santiago
929107,santiago
929220,santiago
930577,santiago
931521,santiago
932611,laserena
932949,santiago
933418,santiago
933635,santiago
934551,valparaiso
935222,santiago
936243,santiago
936747,santiago
937594,concepcion
938402,santiago
938444,concepcion
938502,santiago
938800,santiago
939441,santiago
939597,santiago
940601,santiago
941112,santiago
942232,santiago
942703,santiago
942851,concepcion
943326,santiago
943853,santiago
944637,concepcion
944744,concepcion
946338,santiago
946378,santiago
947608,santiago
947834,santiago
948302,concepcion
949560,santiago
950237,santiago
953545,santiago
953926,santiago
955220,santiago
956383,concepcion
957049,santiago
957662,santiago
958257,santiago
958336,santiago
958567,concepcion
958815,santiago
959040,santiago
959324,santiago
959947,santiago
962764,santiago
962920,santiago
962931,santiago
963913,santiago
963914,valparaiso
965263,santiago
965368,santiago
967113,santiago
967749,santiago
970670,santiago
971655,santiago
972680,santiago
972836,santiago
972901,valparaiso
974495,santiago
976500,santiago
977863,santiago
978196,santiago
978892,santiago
980719,santiago
981980,valparaiso
982369,santiago
983855,concepcion
984694,santiago
984955,santiago
985496,valparaiso
986666,santiago
987892,santiago
987975,santiago
988138,valparaiso
988139,santiago
988927,santiago
989734,concepcion
989750,santiago
991011,santiago
991806,santiago
993027,concepcion
993345,santiago
994382,santiago
995541,santiago
995542,laserena
995615,valparaiso
995892,santiago
997179,santiago
997981,santiago
998194,santiago
998374,santiago
998993,santiago
999683,santiago
1002161,valparaiso
1002515,santiago
1003264,santiago
1004847,valparaiso
1005374,santiago
1006086,santiago
1006506,santiago
1006843,laserena
1008824,santiago
1009965,santiago
1010318,santiago
1011575,santiago
1012113,valparaiso
1012546,valparaiso
1012566,santiago
1013196,santiago
1013751,valparaiso
1014747,santiago
1014908,santiago
1015136,valparaiso
1015638,santiago
1016515,valparaiso
1017395,santiago
1018637,concepcion
1020097,santiago
1020135,santiago
1020460,valparaiso
1021186,santiago
1021283,santiago
1023285,santiago
1023571,santiago
1024525,santiago
1025029,santiago
1025074,santiago
1025468,valparaiso
1025577,concepcion
1025760,santiago
1025892,santiago
1029867,concepcion
1030014,santiago
1030114,santiago
1032236,santiago
1032286,santiago
1034587,santiago
1035026,santiago
1035307,valparaiso
1036182,laserena
1036733,santiago
1041043,concepcion
1042288,santiago
1043236,santiago
1043286,santiago
1044335,santiago
1044373,santiago
1045203,santiago
1046004,santiago
1047145,santiago
1048455,valparaiso
1049103,santiago
1049430,concepcion
1049535,santiago
1050425,santiago
1050426,santiago
1050875,valparaiso
1051201,santiago
1053365,santiago
1053584,santiago
1053585,santiago
1053627,concepcion
1053659,valparaiso
1053709,concepcion
1054414,santiago
1054727,santiago
1056834,santiago
1056881,santiago
1057809,santiago
1058868,concepcion
1059273,santiago
1059388,concepcion
1059732,concepcion
1060816,concepcion
1060856,valparaiso
1061089,santiago
1061090,valparaiso
1061213,santiago
1062147,santiago
1062993,santiago
1063411,santiago
1063494,santiago
1064533,laserena
1065010,concepcion
1065050,valparaiso
1065317,santiago
1065409,santiago
1065729,valparaiso
1065791,santiago
1066642,santiago
1066672,santiago
1067348,concepcion
1067722,santiago
1068526,valparaiso
1068963,santiago
1069328,santiago
1069518,laserena
1069652,valparaiso
1070520,concepcion
1070612,santiago
1071180,santiago
1071967,santiago
1072180,santiago
1072591,santiago
1072931,santiago
1072955,santiago
1073070,santiago
1073785,santiago
1075173,santiago
1075645,santiago
1077162,valparaiso
1078030,santiago
1079769,valparaiso
1079888,concepcion
1079908,valparaiso
1080975,laserena
1081353,santiago
1081394,santiago
1081477,santiago
1082184,santiago
1082768,santiago
1083366,valparaiso
1083858,santiago
1084196,santiago
1084705,laserena
1084755,santiago
1085552,santiago
1085658,santiago
1086237,laserena
1086374,santiago
1088102,laserena
1090432,santiago
1091248,concepcion
1091335,santiago
1091688,santiago
1092256,valparaiso
1092526,santiago
1092747,santiago
1094036,valparaiso
1094116,santiago
1094531,santiago
1096321,santiago
1096602,laserena
1096618,santiago
1098167,santiago
1099020,concepcion
1100980,santiago
1101259,santiago
1102038,laserena
1102818,santiago
1103749,santiago
1103750,laserena
1104488,santiago
1106307,santiago
1106530,valparaiso
1107775,santiago
1108033,santiago
1108292,santiago
1109050,valparaiso
1109469,santiago
1109609,santiago
1109791,santiago
1110720,santiago
1110751,santiago
1110980,concepcion
1112603,santiago
1113484,santiago
1114583,santiago
1115874,santiago
1116327,santiago
1116759,laserena
1117333,concepcion
1117495,valparaiso
1117620,valparaiso
1118049,santiago
1119677,santiago
1120023,santiago
1120368,santiago
1122452,santiago
1122696,santiago
1123344,santiago
1124377,laserena
1124422,santiago
1125211,santiago
1125860,santiago
1126198,santiago
1126212,santiago
1126969,santiago
1128615,concepcion
1129803,concepcion
1130250,santiago
1131013,santiago
1131180,santiago
1131235,santiago
1131379,valparaiso
1132238,santiago
1132651,santiago
1132886,concepcion
1133045,santiago
1133597,concepcion
1135123,santiago
1135496,valparaiso
1136144,concepcion
1137960,concepcion
1138119,santiago
1138740,concepcion
1138804,santiago
1139442,santiago
1139443,valparaiso
1140615,santiago
1140691,santiago
1141349,concepcion
1141350,santiago
1141384,santiago
1143154,santiago
1144420,concepcion
1144550,santiago
1144551,concepcion
1145546,santiago
1145547,concepcion
1145568,concepcion
1147455,santiago
1147823,santiago
1147824,santiago
1148946,santiago
1149658,santiago
1150051,santiago
1151048,santiago
1151663,concepcion
1153528,concepcion
1154968,concepcion
1155736,valparaiso
1157037,santiago
1157378,santiago
1157447,santiago
1157817,santiago
1159479,valparaiso
1162675,santiago
1163151,santiago
1163547,santiago
1164846,santiago
1165934,valparaiso
1166386,santiago
1168027,santiago
1168113,santiago
1168352,santiago
1168650,santiago
1168943,santiago
1169562,santiago
1170607,santiago
1170761,santiago
1170911,santiago
1171704,santiago
1172452,santiago
1172453,santiago
1172760,santiago
1172982,santiago
1176584,santiago
1178382,laserena
1178502,santiago
1178634,concepcion
1179394,santiago
1180131,santiago
1180953,laserena
1180995,santiago
1182091,santiago
1182218,valparaiso
1183451,santiago
1183529,santiago
1184818,santiago
1185848,santiago
1186347,santiago
